title,image_url,image_file
Library of Souls (Miss Peregrineâs Peculiar Children #3),http://books.toscrape.com/media/cache/f8/54/f85417465a73e33604624205ba8306cc.jpg,covers/Library of Souls (Miss Peregrineâs Peculiar Children #3).jpg
Frostbite (Vampire Academy #2),http://books.toscrape.com/media/cache/71/76/7176317f1915fa0658bb2fe400441207.jpg,covers/Frostbite (Vampire Academy #2).jpg
Finders Keepers (Bill Hodges Trilogy #2),http://books.toscrape.com/media/cache/6a/81/6a81103b1c01a3f6c56e5718a838a4c8.jpg,covers/Finders Keepers (Bill Hodges Trilogy #2).jpg
Done Rubbed Out (Reightman & Bailey #1),http://books.toscrape.com/media/cache/08/4d/084da0199a717cb6c1eda30f98d0ea4c.jpg,covers/Done Rubbed Out (Reightman & Bailey #1).jpg
Dark Notes,http://books.toscrape.com/media/cache/6e/4e/6e4e8f4f4abd94356a9be840e4681e65.jpg,covers/Dark Notes.jpg
Batman: The Dark Knight Returns (Batman),http://books.toscrape.com/media/cache/be/a9/bea95dbd7b2a843519c9a1dcfc433f9b.jpg,covers/Batman: The Dark Knight Returns (Batman).jpg
Amatus,http://books.toscrape.com/media/cache/8f/92/8f92c3b5dc8f5c1a23324bda7477b19c.jpg,covers/Amatus.jpg
Agnostic: A Spirited Manifesto,http://books.toscrape.com/media/cache/9f/fc/9ffc43826233092d2acb4414f86627eb.jpg,covers/Agnostic: A Spirited Manifesto.jpg
You (You #1),http://books.toscrape.com/media/cache/d6/97/d697268540fa982f4dce39f61ed3a342.jpg,covers/You (You #1).jpg
Walt Disney's Alice in Wonderland,http://books.toscrape.com/media/cache/28/50/2850439c2ba103fb69dba9cd2dd9f0c2.jpg,covers/Walt Disney's Alice in Wonderland.jpg
The White Queen (The Cousins' War #1),http://books.toscrape.com/media/cache/72/d8/72d861617b6d3aababe6e61e8d3c1056.jpg,covers/The White Queen (The Cousins' War #1).jpg
The Time Keeper,http://books.toscrape.com/media/cache/8f/f8/8ff8680dde59ea739d6978a01e4d7fe5.jpg,covers/The Time Keeper.jpg
The Star-Touched Queen,http://books.toscrape.com/media/cache/53/5e/535e2be0b423797c2cdc7d98882c820a.jpg,covers/The Star-Touched Queen.jpg
The Songs of the Gods,http://books.toscrape.com/media/cache/6c/a3/6ca34db7c01e554ad17bd3be74b561e3.jpg,covers/The Songs of the Gods.jpg
The Song of Achilles,http://books.toscrape.com/media/cache/66/f7/66f79b76d6c6b64fcc8110515c454e09.jpg,covers/The Song of Achilles.jpg
The Darkest Lie,http://books.toscrape.com/media/cache/1d/3c/1d3c05b772ab846c111970232360d2c5.jpg,covers/The Darkest Lie.jpg
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),http://books.toscrape.com/media/cache/7e/c0/7ec0e9ca6153a23b2024b7df7407ee84.jpg,covers/Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1).jpg
Steve Jobs,http://books.toscrape.com/media/cache/86/31/86313c225719ac946894d780c4ff0839.jpg,covers/Steve Jobs.jpg
Someone Like You (The Harrisons #2),http://books.toscrape.com/media/cache/e3/d0/e3d05227f3fc24f0e0c84ccebe108fb0.jpg,covers/Someone Like You (The Harrisons #2).jpg
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",http://books.toscrape.com/media/cache/c8/f2/c8f297fab080ddd02b3ed5c17b83af85.jpg,"covers/Quarter Life Poetry: Poems for the Young, Broke and Hangry.jpg"
Old School (Diary of a Wimpy Kid #10),http://books.toscrape.com/media/cache/df/5d/df5d172abe87deda6d533e3e908d27d8.jpg,covers/Old School (Diary of a Wimpy Kid #10).jpg
Made to Stick: Why Some Ideas Survive and Others Die,http://books.toscrape.com/media/cache/e2/2e/e22e4a82d97f9f0689d5295a98f5dcff.jpg,covers/Made to Stick: Why Some Ideas Survive and Others Die.jpg
Looking for Lovely: Collecting the Moments that Matter,http://books.toscrape.com/media/cache/61/1e/611e1804ad968e309a5f788d4ebc1cb4.jpg,covers/Looking for Lovely: Collecting the Moments that Matter.jpg
